CustomerID,Lookalikes
C0001,"[('C0112', 0.9999999999925892), ('C0025', 0.9999999999705456), ('C0071', 0.9999999999341492)]"
C0002,"[('C0134', 0.9999999999832064), ('C0045', 0.9999999999320677), ('C0040', 0.9999999997673304)]"
C0003,"[('C0052', 0.9999999871225099), ('C0126', 0.9999999871225099), ('C0076', 0.9999999701523943)]"
C0004,"[('C0108', 0.9999999998526328), ('C0102', 0.999999999373497), ('C0192', 0.9999999993194105)]"
C0005,"[('C0159', 0.9999999999229701), ('C0106', 0.9999999984722103), ('C0007', 0.9999999971210749)]"
C0006,"[('C0076', 0.9999999582719943), ('C0181', 0.9999999408484918), ('C0052', 0.9999999305361762)]"
C0007,"[('C0159', 0.9999999979858796), ('C0175', 0.999999997363488), ('C0005', 0.9999999971210749)]"
C0008,"[('C0189', 0.9999999974516989), ('C0016', 0.9999999971530179), ('C0183', 0.9999999968369206)]"
C0009,"[('C0121', 0.9999999965159265), ('C0170', 0.9999999921096518), ('C0164', 0.9999999670557241)]"
C0010,"[('C0062', 0.9999999999982625), ('C0199', 0.9999999997567113), ('C0019', 0.9999999985295748)]"
C0011,"[('C0168', 0.9999999999982799), ('C0171', 0.9999999999722666), ('C0096', 0.9999999990701733)]"
C0012,"[('C0187', 0.9999999835160633), ('C0190', 0.9999983367680239), ('C0195', 0.9999979845724356)]"
C0013,"[('C0190', 0.9999999757809019), ('C0032', 0.9999998768477141), ('C0129', 0.99999985572752)]"
C0014,"[('C0044', 0.9999998954489616), ('C0057', 0.9999995282918519), ('C0127', 0.9999990837697794)]"
C0015,"[('C0185', 0.9999999824785623), ('C0034', 0.9999999593508291), ('C0016', 0.9999999577449455)]"
C0016,"[('C0008', 0.9999999971530179), ('C0189', 0.9999999892177077), ('C0183', 0.9999999879881961)]"
C0017,"[('C0069', 0.9999999999196195), ('C0051', 0.9999999943858524), ('C0119', 0.9999999911361441)]"
C0018,"[('C0049', 0.9999999799873956), ('C0116', 0.999999799622621), ('C0144', 0.9999997817329734)]"
C0019,"[('C0149', 0.9999999998324446), ('C0132', 0.9999999991473018), ('C0037', 0.9999999988629283)]"
C0020,"[('C0036', 0.9999998242149651), ('C0194', 0.9999997623638082), ('C0065', 0.9999997539558855)]"
